11100000000100010110010011001000001001110000010101,1.0
00010000001011101001000100011000010011001100110001,1.0
10000111001010010101110111111001000111001001101010,0
10111010111110001101011010001000101001001110011111,1.0
10000100110101100010101100001111011001000111111001,1.0
00001101100010111110101001001101110100011101100101,1.0
01011010111101111010001011100100011110001100010011,1.0
01000101000111100010100110111110100110110000110101,1.0
00001101101011001111010100100011100011111111010000,0
00011010110110110001010111011100111110110101100001,1.0
